Date,PX_LAST,PX_VOLUME_x,VSTOXX,EURIBOR3M,PX_BID,PX_VOLUME_y,PX_ASK,PX_SPREAD
2024-09-30,5000.45,357229704.0,0.18064699999999997,0.028400000000000033,5040.0,783181,5041.0,1.0
2024-09-27,5067.45,272856937.0,0.15953099999999998,0.02855000000000004,5078.0,805911,5079.0,1.0
2024-09-26,5032.59,316328215.0,0.163795,0.029000000000000057,5068.0,1035689,5070.0,2.0
2024-09-25,4916.89,197642741.0,0.162155,0.02905000000000001,4943.0,495790,4944.0,1.0
2024-09-24,4940.72,204248593.0,0.1602,0.028949999999999962,4966.0,670470,4967.0,1.0
2024-09-23,4885.57,220071284.0,0.16369299999999998,0.029549999999999983,4923.0,443302,4924.0,1.0
2024-09-20,4871.54,562649020.0,0.161859,0.03030000000000001,4903.0,46019,4904.0,1.0
2024-09-19,4943.38,299788465.0,0.154193,0.03010000000000005,4935.0,668872,4953.0,18.0
2024-09-18,4835.3,203536322.0,0.17060199999999998,0.03030000000000001,4845.0,811035,4846.0,1.0
2024-09-17,4860.78,225636820.0,0.165794,0.03010000000000005,4857.0,1438691,4858.0,1.0
2024-09-16,4827.63,169503654.0,0.17115100000000003,0.034879999999999994,4852.0,1523332,4853.0,1.0
2024-09-13,4843.99,204316953.0,0.160523,0.034650000000000035,4847.0,795245,4848.0,1.0
2024-09-12,4814.08,225754919.0,0.17533,0.03474999999999994,4832.0,836226,4833.0,1.0
2024-09-11,4763.58,227355333.0,0.19598400000000002,0.03444999999999993,4821.0,719182,4822.0,1.0
2024-09-10,4747.2,270045870.0,0.195428,0.03444999999999993,4767.0,637085,4768.0,1.0
2024-09-09,4778.66,185477355.0,0.20229399999999997,0.03439999999999998,4797.0,718278,4798.0,1.0
2024-09-06,4738.06,266435402.0,0.22584900000000002,0.03430000000000007,4732.0,1093192,4733.0,1.0
2024-09-05,4815.15,217384494.0,0.200497,0.03435000000000002,4828.0,679868,4829.0,1.0
2024-09-04,4848.18,212379377.0,0.19866499999999998,0.03439999999999998,4852.0,843155,4854.0,2.0
2024-09-03,4912.52,219271773.0,0.173374,0.03450000000000003,4892.0,681738,4893.0,1.0
2024-09-02,4973.07,142247332.0,0.154132,0.034549999999999984,4986.0,320099,4987.0,1.0
2024-08-30,4957.98,345210448.0,0.152695,0.03444999999999993,4978.0,571412,4980.0,2.0
2024-08-29,4966.27,195531678.0,0.152338,0.03430000000000007,4958.0,609869,4959.0,1.0
2024-08-28,4913.03,172228077.0,0.155896,0.03435000000000002,4926.0,424380,4928.0,2.0
2024-08-27,4898.78,175396422.0,0.15456799999999998,0.03435000000000002,4915.0,343905,4916.0,1.0
2024-08-26,4896.69,106222613.0,0.156627,0.03439999999999998,4912.0,234702,4913.0,1.0
2024-08-23,4909.2,162923559.0,0.15307,0.034249999999999975,4919.0,498112,4921.0,2.0
2024-08-22,4885.0,147521621.0,0.160105,0.03430000000000007,4883.0,444444,4884.0,1.0
2024-08-21,4885.28,137611304.0,0.154752,0.034249999999999975,4907.0,419755,4908.0,1.0
2024-08-20,4857.58,160879391.0,0.15460000000000002,0.03430000000000007,4867.0,481959,4869.0,2.0
2024-08-19,4871.41,163277921.0,0.149168,0.03435000000000002,4895.0,433992,4896.0,1.0
2024-08-16,4840.52,230496419.0,0.145006,0.03435000000000002,4861.0,740092,4862.0,1.0
2024-08-15,4807.77,117771504.0,0.153092,0.03439999999999998,4843.0,798379,4844.0,1.0
2024-08-14,4727.6,144349048.0,0.167631,0.034099999999999964,4749.0,560364,4751.0,2.0
2024-08-13,4694.92,187061608.0,0.18343299999999998,0.03405000000000001,4726.0,512960,4727.0,1.0
2024-08-12,4671.88,157844653.0,0.192927,0.034249999999999975,4687.0,502392,4688.0,1.0
2024-08-09,4675.28,177063975.0,0.204295,0.034249999999999975,4707.0,572364,4710.0,3.0
2024-08-08,4668.74,250044060.0,0.216299,0.034200000000000015,4700.0,723887,4703.0,3.0
2024-08-07,4668.06,341409112.0,0.207485,0.034200000000000015,4625.0,942396,4626.0,1.0
2024-08-06,4575.22,326903721.0,0.250676,0.03400000000000006,4600.0,1086430,4602.0,2.0
2024-08-05,4571.6,471088224.0,0.311676,0.03364999999999995,4594.0,1707867,4597.0,3.0
2024-08-02,4638.7,443711881.0,0.24519,0.033799999999999955,4677.0,1374820,4678.0,1.0
2024-08-01,4765.72,348984088.0,0.181194,0.034549999999999984,4774.0,952285,4776.0,2.0
2024-07-31,4872.94,302622406.0,0.157434,0.034650000000000035,4901.0,723206,4902.0,1.0
2024-07-30,4841.0,282659470.0,0.165329,0.03474999999999994,4865.0,523840,4866.0,1.0
2024-07-29,4815.39,201737531.0,0.168293,0.03484999999999999,4852.0,592859,4853.0,1.0
2024-07-26,4862.5,207454880.0,0.16145800000000002,0.034950000000000044,4902.0,620702,4903.0,1.0
2024-07-25,4811.28,273918028.0,0.1693,0.034950000000000044,4833.0,1009231,4834.0,1.0
2024-07-24,4861.87,255223899.0,0.16062200000000001,0.035049999999999956,4861.0,664605,4863.0,2.0
2024-07-23,4916.8,217240511.0,0.148035,0.03525000000000006,4931.0,589251,4933.0,2.0
2024-07-22,4897.44,235367911.0,0.156897,0.03530000000000001,4950.0,729270,4951.0,1.0
2024-07-19,4827.24,305112515.0,0.165217,0.03515000000000001,4857.0,828839,4858.0,1.0
2024-07-18,4870.12,243941952.0,0.157337,0.03510000000000005,4898.0,762703,4899.0,1.0
2024-07-17,4891.46,212497507.0,0.145472,0.03510000000000005,4912.0,776424,4913.0,1.0
2024-07-16,4947.83,192865839.0,0.13865,0.035,4998.0,639633,4999.0,1.0
2024-07-15,4983.11,167868357.0,0.135933,0.035,5002.0,674985,5003.0,1.0
2024-07-12,5043.02,204944210.0,0.130602,0.03489999999999995,5061.0,684631,5062.0,1.0
2024-07-11,4976.13,215256138.0,0.134169,0.034950000000000044,5002.0,642446,5003.0,1.0
2024-07-10,4958.86,201356064.0,0.138688,0.03530000000000001,5009.0,647413,5010.0,1.0
2024-07-09,4903.62,202284680.0,0.145967,0.03530000000000001,4939.0,773684,4940.0,1.0
2024-07-08,4969.83,234769880.0,0.13292400000000001,0.03530000000000001,5000.0,604832,5001.0,1.0
2024-07-05,4979.39,185060140.0,0.144265,0.03530000000000001,5023.0,694901,5024.0,1.0
2024-07-04,4987.48,160778499.0,0.146177,0.03540000000000006,5031.0,362050,5032.0,1.0
2024-07-03,4965.8,229834981.0,0.148321,0.035349999999999965,5011.0,736414,5012.0,1.0
2024-07-02,4906.33,230127036.0,0.158831,0.035349999999999965,4952.0,757600,4953.0,1.0
2024-07-01,4929.99,268054001.0,0.158952,0.03540000000000006,4977.0,729644,4978.0,1.0
2024-06-28,4894.02,251493486.0,0.18296900000000002,0.03530000000000001,4939.0,843605,4940.0,1.0
2024-06-27,4902.6,230376475.0,0.190602,0.03525000000000006,4947.0,600720,4948.0,1.0
2024-06-26,4915.94,245280283.0,0.1898,0.03525000000000006,4958.0,697226,4959.0,1.0
2024-06-25,4935.97,231330420.0,0.180399,0.03525000000000006,4986.0,616687,4988.0,2.0
2024-06-24,4950.98,244253755.0,0.173846,0.03540000000000006,4972.0,599381,4974.0,2.0
2024-06-21,4907.3,573690213.0,0.176045,0.035450000000000016,4910.0,52662,4911.0,1.0
2024-06-20,4947.73,263476470.0,0.177544,0.03564999999999998,4946.0,597990,4951.0,5.0
2024-06-19,4885.45,246076506.0,0.185209,0.03569999999999993,4884.0,952734,4885.0,1.0
2024-06-18,4915.47,256850010.0,0.18603999999999998,0.03564999999999998,4919.0,1745353,4920.0,1.0
2024-06-17,4880.42,271249615.0,0.19910699999999998,0.03710999999999998,4906.0,1689137,4907.0,1.0
2024-06-14,4839.14,519017459.0,0.198691,0.03719999999999999,4841.0,1932002,4842.0,1.0
2024-06-13,4935.5,377530394.0,0.16751000000000002,0.03724999999999994,4948.0,1206075,4949.0,1.0
2024-06-12,5034.43,264767680.0,0.14771900000000002,0.03724999999999994,5036.0,956619,5037.0,1.0
2024-06-11,4965.09,302866292.0,0.157607,0.03739999999999995,4976.0,1007784,4977.0,1.0
2024-06-10,5016.48,238884288.0,0.145074,0.03739999999999995,5029.0,819605,5030.0,1.0
2024-06-07,5051.31,220140893.0,0.132861,0.037450000000000046,5046.0,733911,5049.0,3.0
2024-06-06,5069.09,239008358.0,0.133388,0.037450000000000046,5075.0,717439,5076.0,1.0
2024-06-05,5035.66,240697168.0,0.139334,0.037349999999999994,5062.0,745323,5063.0,1.0
2024-06-04,4953.37,320805617.0,0.147419,0.03739999999999995,4973.0,782721,4974.0,1.0
2024-06-03,5003.54,227850174.0,0.140593,0.0375,5005.0,717427,5007.0,2.0
2024-05-31,4983.67,593175350.0,0.141384,0.03754999999999995,5018.0,880042,5020.0,2.0
2024-05-30,4982.18,231870773.0,0.13980499999999998,0.03739999999999995,4998.0,569776,4999.0,1.0
2024-05-29,4963.2,235500764.0,0.140762,0.03739999999999995,4975.0,826189,4976.0,1.0
2024-05-28,5030.35,206833825.0,0.133141,0.037450000000000046,5045.0,570744,5046.0,1.0
2024-05-27,5059.2,151987786.0,0.128844,0.037450000000000046,5067.0,242122,5068.0,1.0
2024-05-24,5035.41,194138384.0,0.126094,0.03760000000000005,5043.0,527625,5044.0,1.0
2024-05-23,5037.6,211359590.0,0.125152,0.0375,5012.0,645779,5014.0,2.0
2024-05-22,5025.17,220929336.0,0.127432,0.037450000000000046,5030.0,492002,5031.0,1.0
2024-05-21,5046.99,248672648.0,0.125421,0.03739999999999995,5060.0,458788,5061.0,1.0
2024-05-20,5074.34,241588880.0,0.12442,0.037349999999999994,5069.0,312609,5070.0,1.0
2024-05-17,5064.14,343384850.0,0.12134600000000001,0.037349999999999994,5068.0,536428,5069.0,1.0
2024-05-16,5072.45,263971170.0,0.127936,0.03724999999999994,5054.0,678611,5055.0,1.0
2024-05-15,5100.9,294864355.0,0.130905,0.03709999999999994,5102.0,591979,5103.0,1.0
2024-05-14,5080.29,395315958.0,0.13955399999999998,0.03719999999999999,5087.0,549096,5088.0,1.0
2024-05-13,5078.96,236769963.0,0.13924,0.03719999999999999,5072.0,406915,5073.0,1.0
2024-05-10,5085.08,336167614.0,0.136018,0.03719999999999999,5075.0,703704,5076.0,1.0
