Date,PX_LAST,PX_VOLUME_x,NIFVIX,IN003M,PX_BID,PX_VOLUME_y,PX_ASK,PX_SPREAD
30-09-2024,24245.2,2690608118,0.127875,0.073,25986.15,327144,25990,3.85
27-09-2024,24489.55,4199366008,0.119625,0.0729,26345.4,191859,26346.35,0.95
26-09-2024,24496.9,3099807700,0.120025,0.073,26219.9,254868,26219.95,0.05
25-09-2024,24371.25,2928160510,0.127425,0.073,26003,189802,26005.25,2.25
24-09-2024,24389.7,2602542342,0.133925,0.073,25954.1,225409,25956,1.9
23-09-2024,24379.2,3569097464,0.13785,0.073,25915.2,250164,25916.9,1.7
20-09-2024,24193.8,4237233135,0.1279,0.073,25786.8,488293,25790.2,3.4
19-09-2024,23853.95,4513809169,0.1247,0.073,25502.3,303629,25506,3.7
17-09-2024,23969.9,1618088090,0.1259,0.0729,25446,109306,25447,1
16-09-2024,23968.2,1720978022,0.1246,0.0729,25434.55,144290,25434.8,0.25
13-09-2024,23928.2,2057818279,0.1255,0.0729,25367.2,174129,25369.05,1.85
12-09-2024,23907.35,2374006513,0.131825,0.0729,25335,434264,25339,4
11-09-2024,23531.25,2309011533,0.136275,0.0729,24948.2,196003,24948.95,0.75
10-09-2024,23643.65,2226529458,0.1336,0.0729,25097,241055,25097.9,0.9
09-09-2024,23502.15,2364876855,0.142375,0.0729,24991.3,213948,24993.3,2
06-09-2024,23477.7,3870422486,0.152175,0.0729,24909.4,416285,24909.45,0.05
05-09-2024,23762.8,2318080383,0.142075,0.0729,25234,156886,25236,2
04-09-2024,23748.9,2062019952,0.143775,0.0729,25251,221796,25253.15,2.15
03-09-2024,23788.45,1814621556,0.138425,0.0729,25341,129562,25344.85,3.85
02-09-2024,23760.7,2522873739,0.1406,0.0729,25335.55,204112,25338.3,2.75
30-08-2024,23734.55,7015024989,0.133925,0.0729,25395.1,222989,25398,2.9
29-08-2024,23631.4,2980429915,0.137875,0.0728,25155.65,273109,25156.3,0.65
28-08-2024,23615.95,2448862548,0.1395,0.0727,25055,214598,25056.45,1.45
27-08-2024,23604.85,2213030254,0.136325,0.0727,25002.65,168667,25009.5,6.85
26-08-2024,23561.75,1999428422,0.13795,0.0727,25045,206149,25045.5,0.5
23-08-2024,23418.65,2341184147,0.135525,0.0727,24854.5,142487,24861.7,7.2
22-08-2024,23440.7,2186317143,0.13,0.0727,24840,132026,24841,1
21-08-2024,23368.65,2234069180,0.133325,0.0727,24796.15,119193,24800,3.85
20-08-2024,23280.35,2172698945,0.1382,0.0727,24708,150366,24708.2,0.2
19-08-2024,23139.75,2133712110,0.14315,0.0727,24592,151933,24598,6
16-08-2024,23056.5,2045485207,0.144025,0.0727,24599,381625,24600,1
14-08-2024,22672.65,2357617612,0.15435,0.0726,24170.45,180341,24174,3.55
13-08-2024,22705.8,2758250421,0.161675,0.0726,24158.5,227964,24162.7,4.2
12-08-2024,22915.85,2532426776,0.158675,0.0726,24363,263966,24363.55,0.55
09-08-2024,22923.5,2111890945,0.15335,0.0725,24404,260013,24404.8,0.8
08-08-2024,22705.7,2438259599,0.166025,0.0726,24120,376292,24123.95,3.95
