Date,PX_LAST,PX_VOLUME_x,VSTOXX,EURIBOR3M,PX_BID,PX_VOLUME_y,PX_ASK,PX_SPREAD
2023-12-18,4521.13,256055949.0,0.129116,0.03938,4563.0,544171,4565.0,2.0
2023-12-19,4535.4,242279616.0,0.128278,0.0370499999999999,4580.0,524417,4582.0,2.0
2023-12-20,4533.82,229351292.0,0.127353,0.03685,4532.0,626072,4534.0,2.0
2023-12-21,4524.86,168774685.0,0.135946,0.0368,4571.0,546146,4573.0,2.0
2023-12-22,4521.47,178339682.0,0.135645,0.03655,4556.0,439410,4557.0,1.0
2023-12-27,4528.38,169917459.0,0.134324,0.03625,4571.0,314541,4572.0,1.0
2023-12-28,4514.38,144459989.0,0.135156,0.0360999999999999,4543.0,332112,4544.0,1.0
2023-12-29,4521.44,132769423.0,0.135747,0.0362,4560.0,396094,4561.0,1.0
2024-01-02,4512.81,280750176.0,0.144914,0.0364,4529.0,753335,4531.0,2.0
2024-01-03,4448.13,266292508.0,0.154904,0.0364,4474.0,864647,4476.0,2.0
2024-01-04,4474.01,289749420.0,0.143099,0.0368,4482.0,601581,4483.0,1.0
2024-01-05,4463.51,287818074.0,0.141189,0.0368999999999999,4485.0,691224,4486.0,1.0
2024-01-08,4485.48,226087487.0,0.140017,0.037,4529.0,503886,4530.0,1.0
2024-01-09,4467.17,257067447.0,0.136966,0.0370999999999999,4491.0,572620,4493.0,2.0
2024-01-10,4468.98,207382934.0,0.1339199999999999,0.03745,4504.0,467338,4505.0,1.0
2024-01-11,4442.28,243695891.0,0.139196,0.03745,4493.0,868132,4494.0,1.0
2024-01-12,4480.02,207345378.0,0.134234,0.0370999999999999,4507.0,709076,4508.0,1.0
2024-01-15,4454.68,176138291.0,0.141101,0.0375499999999999,4479.0,455074,4481.0,2.0
2024-01-16,4446.51,228767488.0,0.141507,0.0376,4459.0,747048,4460.0,1.0
2024-01-17,4403.08,264397813.0,0.15082,0.0379999999999999,4425.0,879466,4428.0,3.0
2024-01-18,4453.05,274749228.0,0.145083,0.0381999999999999,4491.0,762488,4492.0,1.0
2024-01-19,4448.83,266353242.0,0.14172,0.0382999999999999,4495.0,653146,4496.0,1.0
2024-01-22,4480.32,247078479.0,0.138453,0.0383499999999999,4498.0,596168,4499.0,1.0
2024-01-23,4465.91,222271610.0,0.135791,0.0383499999999999,4501.0,530608,4502.0,1.0
2024-01-24,4564.11,311806511.0,0.134592,0.0384,4578.0,1002539,4579.0,1.0
2024-01-25,4582.26,306487503.0,0.135755,0.03795,4619.0,762897,4620.0,1.0
2024-01-26,4635.47,248784152.0,0.136074,0.03795,4654.0,932675,4656.0,2.0
2024-01-29,4639.36,284914091.0,0.140569,0.0376,4675.0,510160,4676.0,1.0
2024-01-30,4662.7,316541234.0,0.141062,0.0379,4680.0,556620,4683.0,3.0
2024-01-31,4648.4,369856270.0,0.148188,0.03745,4653.0,899445,4654.0,1.0
2024-02-01,4638.6,383636399.0,0.148059,0.0378,4677.0,801257,4678.0,1.0
2024-02-02,4654.55,292454572.0,0.140448,0.0384,4681.0,774126,4682.0,1.0
2024-02-05,4655.27,438260151.0,0.141586,0.03855,4682.0,553335,4683.0,1.0
2024-02-06,4690.87,429838803.0,0.136148,0.0384499999999999,4714.0,601399,4716.0,2.0
2024-02-07,4678.85,367739990.0,0.136403,0.0384999999999999,4705.0,570003,4706.0,1.0
2024-02-08,4710.78,296031012.0,0.137628,0.0385999999999999,4720.0,801332,4721.0,1.0
2024-02-09,4715.87,308481068.0,0.139901,0.0387,4747.0,672669,4748.0,1.0
2024-02-12,4746.35,226028182.0,0.143637,0.0385999999999999,4752.0,664624,4753.0,1.0
2024-02-13,4689.28,227739602.0,0.150271,0.0387,4688.0,938451,4689.0,1.0
2024-02-14,4709.22,203604542.0,0.144442,0.0387,4742.0,593413,4743.0,1.0
2024-02-15,4743.17,270694937.0,0.143226,0.0387,4776.0,676971,4777.0,1.0
2024-02-16,4765.65,302169000.0,0.137871,0.0387999999999999,4763.0,756706,4764.0,1.0
2024-02-19,4763.07,173375938.0,0.140778,0.03885,4776.0,290687,4777.0,1.0
