Date,PX_LAST,PX_VOLUME_x,VIX,SOFR3M,PX_BID,PX_VOLUME_y,PX_ASK,PX_SPREAD
2023-12-07,4585.59,654683633,0.1306,0.053525,4585.0,1832361.0,4585.75,0.75
2023-12-08,4604.37,650108320,0.1235,0.05355,4607.25,2289425.0,4607.75,0.5
2023-12-11,4622.44,710937555,0.1263,0.053525,4624.5,1663229.0,4625.0,0.5
2023-12-12,4643.7,641078562,0.1207,0.05355,4648.75,1052077.0,4649.25,0.5
2023-12-13,4707.09,822110084,0.1219,0.053525,4706.25,739684.0,4706.75,0.5
2023-12-18,4740.56,704963485,0.1256,0.053525,4790.25,1139029.0,4790.75,0.5
2023-12-19,4768.37,683293471,0.1253,0.053525,4818.0,1122973.0,4818.5,0.5
2023-12-20,4698.35,740948509,0.1367,0.0537,4753.0,1749145.0,4754.0,1.0
2023-12-21,4746.75,598987758,0.1365,0.053675,4795.75,1687065.0,4796.0,0.25
2023-12-22,4754.63,478035162,0.1303,0.053675,4799.0,1326697.0,4799.5,0.5
2023-12-26,4774.75,383600823,0.1299,0.0536249999999999,4826.75,688201.0,4827.25,0.5
2023-12-27,4781.58,477164240,0.1243,0.053575,4834.75,1042284.0,4835.0,0.25
2023-12-28,4783.35,412883803,0.1247,0.0536249999999999,4833.0,927035.0,4833.5,0.5
2023-12-29,4769.83,551130242,0.1245,0.053575,4812.5,1281733.0,4812.75,0.25
2024-01-02,4742.83,707023582,0.132,0.0536249999999999,4788.5,1678142.0,4788.75,0.25
2024-01-03,4704.81,696024599,0.1404,0.053675,4748.5,1707174.0,4749.0,0.5
2024-01-04,4688.68,693014905,0.1413,0.0536499999999999,4732.25,1395366.0,4732.5,0.25
2024-01-05,4697.24,650594292,0.1335,0.0536499999999999,4735.5,1767245.0,4735.75,0.25
2024-01-08,4763.54,699080100,0.1308,0.0536499999999999,4797.5,1417728.0,4798.0,0.5
2024-01-09,4756.5,627224821,0.1276,0.0536499999999999,4790.5,1369103.0,4790.75,0.25
2024-01-10,4783.45,594304429,0.1268999999999999,0.0536249999999999,4820.25,1377780.0,4820.5,0.25
2024-01-11,4780.24,639362905,0.1244,0.0536249999999999,4811.75,1795564.0,4812.25,0.5
2024-01-12,4783.83,588398855,0.127,0.0535999999999999,4811.0,1519899.0,4811.5,0.5
2024-01-16,4765.98,709069725,0.1384,0.0535999999999999,4799.0,1905532.0,4799.25,0.25
2024-01-17,4739.21,600707347,0.1479,0.0536249999999999,4769.25,1663328.0,4769.75,0.5
2024-01-18,4780.94,690191784,0.1413,0.0536249999999999,4810.75,1746936.0,4811.25,0.5
2024-01-19,4839.81,840591395,0.133,0.0536499999999999,4869.75,1876757.0,4870.5,0.75
2024-01-22,4850.43,701376031,0.1319,0.0536499999999999,4880.25,1356050.0,4880.75,0.5
2024-01-23,4864.6,596555898,0.1255,0.0536249999999999,4901.0,1130749.0,4901.5,0.5
2024-01-24,4868.55,682971998,0.1314,0.0536499999999999,4901.0,1586824.0,4901.5,0.5
