Date,PX_LAST,GARCH_Volatility,Sigma_Annualized,NIFVIX,IN003M,Daily_STIR,CFD_Ask,CFD_Bid,Portfolio_Value_Upper,Portfolio_Value_Lower,Cumulative_Cost_Upper,Cumulative_Cost_Lower
2023-11-28,17741.8,0.0058105633192636,0.0922398331197944,0.12175,0.0724,0.0002873015873015,17743.0953811523,17740.5046188477,1000.0,1000.0,0.0,0.0
2023-11-29,17904.1,0.0058173173822313,0.0923470505455053,0.127075,0.0724,0.0002873015873015,17905.408750634233,17902.791249365764,1044.583126998462,1018.0056317517657,1.1492063492059998,0.28730158730149996
2023-11-30,17987.95,0.0061964274683016,0.0983652365890539,0.1269,0.0725,0.0002876984126984,17989.350568804406,17986.549431195595,1067.0353687906284,1027.1591475162513,2.2999999999996,0.5749999999999
2023-12-01,18115.35,0.006098663587017,0.0968132830865531,0.123825,0.0724,0.0002873015873015,18116.738234613636,18113.96176538636,1101.7909274933281,1041.233751949712,3.4492063492055998,0.8623015873013999
2023-12-04,18448.5,0.0062008009890301,0.098434664078263,0.129925,0.0723,0.0002869047619047,18449.93744172878,18447.06255827122,1194.5110315597656,1078.49393643343,4.5968253968244,1.1492063492061
2023-12-05,18588.55,0.008094376820476,0.1284942485101521,0.134575,0.0724,0.0002873015873015,18590.44064314948,18586.65935685052,1232.7001693891032,1093.941972517546,5.7460317460304,1.4365079365076
2023-12-06,18680.0,0.0080007655331648,0.1270082153933473,0.1374,0.0724,0.0002873015873015,18681.877971832262,18678.122028167738,1257.3251217626123,1103.9643344193305,6.895238095236399,1.7238095238090998
2023-12-07,18703.85,0.0077404080121951,0.122875167878641,0.126725,0.0724,0.0002873015873015,18705.66917969419,18702.03082030581,1262.9134072727659,1106.3720295757728,8.0444444444424,2.0111111111106
2023-12-08,18703.5,0.0074025907742908,0.1175124854781272,0.1247,0.0724,0.0002873015873015,18705.239752510446,18701.760247489554,1261.6879535691828,1106.0542290467206,9.1936507936484,2.2984126984121
2023-12-11,18770.2,0.0070990486307915,0.1126939033333682,0.127575,0.0725,0.0002876984126984,18771.87436452839,18768.52563547161,1279.3516301525344,1113.29231872768,10.344444444442,2.5861111111105
2023-12-12,18686.8,0.0068603349134394,0.1089044405494479,0.127125,0.0725,0.0002876984126984,18688.41087306318,18685.189126936817,1254.7166284916436,1103.6109371109428,11.495238095235601,2.8738095238089003
2023-12-13,18751.45,0.0068171028874216,0.1082181534123489,0.12065,0.0725,0.0002876984126984,18753.056259791596,18749.843740208406,1271.7854892705582,1110.6111004701274,12.646031746029202,3.1615079365073004
2023-12-14,18973.85,0.0065998874758508,0.1047699656526668,0.1232,0.0726,0.0002880952380952,18975.423523322515,18972.27647667748,1333.314599819755,1135.3956018326635,13.79841269841,3.4496031746025
2023-12-15,19145.05,0.0072119281267835,0.1144858097804465,0.131275,0.0725,0.0002876984126984,19146.784957394502,19143.315042605496,1380.3624328047908,1154.387354074297,14.949206349203601,3.7373015873009003
2023-12-18,19155.55,0.0073611880757009,0.1168552380136729,0.139,0.0726,0.0002880952380952,19157.321835535433,19153.778164464566,1382.1585570693137,1155.2786609229634,16.101587301584402,4.0253968253961006
