Date,PX_LAST,PX_VOLUME
30.09.2024,24245.2,2690608118
27.09.2024,24489.55,4199366008
26.09.2024,24496.9,3099807700
25.09.2024,24371.25,2928160510
24.09.2024,24389.7,2602542342
23.09.2024,24379.2,3569097464
20.09.2024,24193.8,4237233135
19.09.2024,23853.95,4513809169
18.09.2024,23898.65,1856462658
17.09.2024,23969.9,1618088090
16.09.2024,23968.2,1720978022
13.09.2024,23928.2,2057818279
12.09.2024,23907.35,2374006513
11.09.2024,23531.25,2309011533
10.09.2024,23643.65,2226529458
09.09.2024,23502.15,2364876855
06.09.2024,23477.7,3870422486
05.09.2024,23762.8,2318080383
04.09.2024,23748.9,2062019952
03.09.2024,23788.45,1814621556
02.09.2024,23760.7,2522873739
30.08.2024,23734.55,7015024989
29.08.2024,23631.4,2980429915
28.08.2024,23615.95,2448862548
27.08.2024,23604.85,2213030254
26.08.2024,23561.75,1999428422
23.08.2024,23418.65,2341184147
22.08.2024,23440.7,2186317143
21.08.2024,23368.65,2234069180
20.08.2024,23280.35,2172698945
19.08.2024,23139.75,2133712110
16.08.2024,23056.5,2045485207
14.08.2024,22672.65,2357617612
13.08.2024,22705.8,2758250421
12.08.2024,22915.85,2532426776
09.08.2024,22923.5,2111890945
08.08.2024,22705.7,2438259599
07.08.2024,22848.9,2459162870
06.08.2024,22443.3,2700060868
05.08.2024,22542.45,4019339380
02.08.2024,23259.45,3092360383
01.08.2024,23506.6,2921486076
31.07.2024,23530.8,3214906956
30.07.2024,23440.9,2998713350
29.07.2024,23394.2,3610725502
26.07.2024,23292.05,3452517187
25.07.2024,22917.25,3443944857
24.07.2024,22921.45,3151242673
23.07.2024,22865.2,4563155207
22.07.2024,22942.65,2960904216
19.07.2024,22853.6,3021861091
18.07.2024,23210.05,3562225671
16.07.2024,23204.25,3433520204
15.07.2024,23209.85,3431429146
12.07.2024,23095.45,3536966325
11.07.2024,23005.25,3376625661
10.07.2024,22977.65,3295884251
09.07.2024,23067.35,3256181171
08.07.2024,22971.15,3703429691
05.07.2024,22987.65,4125904647
04.07.2024,22914.2,3070438123
03.07.2024,22851.2,3147581494
02.07.2024,22677.8,2902278584
01.07.2024,22727.6,2754975054
28.06.2024,22559.7,4300793170
27.06.2024,22537.4,4298989006
26.06.2024,22436.8,3830080666
25.06.2024,22370.65,2647422434
24.06.2024,22289.1,3220275933
21.06.2024,22236.2,4820720134
20.06.2024,22305.1,3470265929
19.06.2024,22224.9,5221059451
18.06.2024,22329.6,3239115179
14.06.2024,22214.3,3423138435
13.06.2024,22074.3,3119002321
12.06.2024,21960.95,3547255322
11.06.2024,21852,4474509649
10.06.2024,21808.25,3708562255
07.06.2024,21764.15,3728221614
06.06.2024,21365,3836693455
05.06.2024,21054.4,5521353106
04.06.2024,20323.85,9292932794
03.06.2024,21797.4,5205916071
31.05.2024,21103.3,6422818788
30.05.2024,21038.55,3528931646
29.05.2024,21256.3,2528100147
28.05.2024,21387.35,2846079137
27.05.2024,21493,3597182686
24.05.2024,21483.75,5235852004
23.05.2024,21489.55,3429637350
22.05.2024,21237.75,2968295743
21.05.2024,21187.65,3541801901
18.05.2024,21144.45,#N/A N/A
17.05.2024,21064.55,2674258575
16.05.2024,20929.05,2468004009
15.05.2024,20741.85,2168807435
14.05.2024,20683.8,2613657232
13.05.2024,20511,2403861861
10.05.2024,20469.1,2251112716
09.05.2024,20344.8,2629593512
08.05.2024,20704.9,2700523845
07.05.2024,20636.05,3745388966
06.05.2024,20864.95,3088823169
03.05.2024,20959.55,4063049939
02.05.2024,21083.6,3285590029
30.04.2024,20997.2,3682351577
29.04.2024,20992.2,4106537293
26.04.2024,20839.35,6609930870
25.04.2024,20867.9,10777793802
24.04.2024,20730.65,3698759237
23.04.2024,20652.65,4892690439
22.04.2024,20574.85,3699091927
19.04.2024,20385.2,2718366244
18.04.2024,20324.7,2963788705
16.04.2024,20423,3114134468
15.04.2024,20478.75,3195294477
12.04.2024,20745.5,3259798445
10.04.2024,20915.2,2571997470
09.04.2024,20790.7,2279289097
08.04.2024,20819.1,2748171184
05.04.2024,20715.1,2829777044
04.04.2024,20664.65,3312201717
03.04.2024,20605.7,3025903603
02.04.2024,20569.75,2812875267
01.04.2024,20492.55,2475637824
28.03.2024,20255.15,2575774679
27.03.2024,20087.8,2821941113
26.03.2024,20005.25,2342861791
22.03.2024,19994.6,2601590005
21.03.2024,19897.4,2205657684
20.03.2024,19632.05,2152106925
19.03.2024,19610.55,2128707541
18.03.2024,19843.1,2242840601
15.03.2024,19825.2,4157467749
14.03.2024,19916.35,3824941788
13.03.2024,19646.3,4148646418
12.03.2024,20171.4,2434750501
11.03.2024,20288.75,2281689016
07.03.2024,20434.8,2434634823
06.03.2024,20379.55,3554796977
05.03.2024,20382,2710712112
04.03.2024,20432.05,2541259609
02.03.2024,20421.35,#N/A N/A
01.03.2024,20349.8,2820288533
29.02.2024,20090.05,4894904342
28.02.2024,20020.4,3851293884
27.02.2024,20292.85,2851313136
26.02.2024,20255.8,2815171234
23.02.2024,20313.5,3983564647
22.02.2024,20283.95,3174404190
21.02.2024,20128.3,3136478294
20.02.2024,20271.9,2683292892
19.02.2024,20241.1,2713258160
16.02.2024,20164.9,3105938792
15.02.2024,20037,3540748825
14.02.2024,19922.3,3452460056
13.02.2024,19782.9,3926949914
12.02.2024,19675.2,4040128867
09.02.2024,19961.5,5412702219
08.02.2024,19987.55,5597812747
07.02.2024,20109.55,5801832023
06.02.2024,20033.75,4596317890
05.02.2024,19853.5,5177883732
02.02.2024,19910.8,4994606315
01.02.2024,19777.35,4212858467
31.01.2024,19802.1,3599211184
30.01.2024,19574.2,3966485047
29.01.2024,19711.65,4154055990
25.01.2024,19393,3856360301
24.01.2024,19451,4176952727
23.01.2024,19206.45,4475907765
20.01.2024,19601.9,#N/A N/A
19.01.2024,19606.4,3753898573
18.01.2024,19414.8,3717800632
17.01.2024,19487.6,4149082169
16.01.2024,19827.55,4145496111
15.01.2024,19885.55,3512194587
12.01.2024,19745.6,3100898911
11.01.2024,19584.35,3371843146
10.01.2024,19517.85,3610350019
09.01.2024,19459.55,3705263366
08.01.2024,19417.7,3520384583
05.01.2024,19590.6,4035259186
04.01.2024,19541.25,3245969708
03.01.2024,19367.15,3635632781
02.01.2024,19418.4,4059867523
01.01.2024,19469.5,4273816051
29.12.2023,19429.15,4243114147
28.12.2023,19399.25,3239161862
27.12.2023,19296.95,2085427238
26.12.2023,19148.85,2213225409
22.12.2023,19054.7,2606979408
21.12.2023,18941.8,3061283261
20.12.2023,18779.45,3869629465
19.12.2023,19169.25,2952383513
18.12.2023,19155.55,3411935390
15.12.2023,19145.05,4026737741
14.12.2023,18973.85,3964170290
13.12.2023,18751.45,2980124262
12.12.2023,18686.8,3315095173
11.12.2023,18770.2,2910999327
08.12.2023,18703.5,3554209377
07.12.2023,18703.85,3279324297
06.12.2023,18680,2728901593
05.12.2023,18588.55,2852550634
04.12.2023,18448.5,2948071842
01.12.2023,18115.35,2479015512
30.11.2023,17987.95,4614613613
29.11.2023,17904.1,2241826737
28.11.2023,17741.8,2261323567
24.11.2023,17643.5,1805583186
23.11.2023,17639.4,1688922649
22.11.2023,17627.7,1813913168
21.11.2023,17627.6,2017504083
20.11.2023,17573.65,2184320622
17.11.2023,17600.5,2971852562
16.11.2023,17593.1,2235488454
15.11.2023,17508.05,2778717630
13.11.2023,17318.6,2274406863
12.11.2023,17361.1,#N/A N/A
10.11.2023,17256.6,1653305196
09.11.2023,17218.9,2149701076
08.11.2023,17259.7,2311203629
07.11.2023,17187.8,2161944906
06.11.2023,17159.4,1889030684
03.11.2023,17000.95,2448308159
02.11.2023,16890.8,2235651847
01.11.2023,16732.95,2394602492
31.10.2023,16801.1,1845557225
30.10.2023,16826.1,2056337293
27.10.2023,16765.45,2144661835
26.10.2023,16555.45,2559209601
25.10.2023,16760.8,2453603647
23.10.2023,16888.7,2543981305
20.10.2023,17208.75,2592838352
19.10.2023,17310.5,2047701985
18.10.2023,17344,2315592981
17.10.2023,17467.7,2188920330
16.10.2023,17393,2160925926
13.10.2023,17390.35,2275987382
12.10.2023,17419.7,2136741693
11.10.2023,17407.35,2194642171
10.10.2023,17303.35,2004738414
09.10.2023,17127.7,2336945710
06.10.2023,17293.6,2240986830
05.10.2023,17195.8,2478393398
04.10.2023,17123.1,2995745776
03.10.2023,17254.4,2473844599
29.09.2023,17292.6,2128945938
28.09.2023,17170.45,2924755808
27.09.2023,17341.6,2419655507
26.09.2023,17276.75,2387174771
25.09.2023,17272.55,2341597646
22.09.2023,17260.8,3034806980
21.09.2023,17303.5,2882275073
20.09.2023,17449.35,3096785738
18.09.2023,17613.6,4463929137
15.09.2023,17665.8,4139215405
14.09.2023,17603.5,2950886983
13.09.2023,17526.75,3477337990
12.09.2023,17460.55,4434063514
11.09.2023,17653.35,3717256390
08.09.2023,17487.45,2991394084
07.09.2023,17385.5,2721652402
06.09.2023,17284.6,3048670194
05.09.2023,17252.1,3770276315
04.09.2023,17180.95,4456744993
01.09.2023,17074.55,3986137682
31.08.2023,16924.3,3889520050
30.08.2023,16968.95,2247531529
29.08.2023,16927.3,2514035480
28.08.2023,16875.3,2442612427
25.08.2023,16820.85,2505024001
24.08.2023,16930.15,2414350939
23.08.2023,16950.25,2283721450
22.08.2023,16905.25,2251650519
21.08.2023,16852.05,1765280807
18.08.2023,16757.7,1900554888
17.08.2023,16802.25,2047876548
16.08.2023,16853.05,1964393544
14.08.2023,16825.55,2026872232
11.08.2023,16860.15,2276878605
10.08.2023,16939.85,2345387214
09.08.2023,17003.85,2114893521
08.08.2023,16949.25,2399041473
07.08.2023,16956.35,2250347796
04.08.2023,16890.6,2629070134
03.08.2023,16772.3,2549861704
02.08.2023,16858.95,2424633039
01.08.2023,17051.15,2330929365
31.07.2023,17059,2443437779
28.07.2023,16948.35,2068537403
27.07.2023,16919.2,2480267426
26.07.2023,16975,2313615545
25.07.2023,16896.9,2288030595
24.07.2023,16865.15,2884005031
21.07.2023,16904.3,2357193179
20.07.2023,17042.55,2161658589
19.07.2023,16953.5,1986823416
18.07.2023,16872,1999927821
17.07.2023,16872.05,2046140692
14.07.2023,16765.45,1682715568
13.07.2023,16623.9,2156371037
12.07.2023,16641.05,2112460179
11.07.2023,16648,1975167201
10.07.2023,16553.75,1783766154
07.07.2023,16564.9,2179409905
06.07.2023,16695.05,2484573474
05.07.2023,16597.2,2338449818
04.07.2023,16556.05,2894619267
03.07.2023,16527.95,2214334272
30.06.2023,16430,2166308403
28.06.2023,16277.2,2074196615
27.06.2023,16163.5,1483210926
26.06.2023,16066.15,1333429586
23.06.2023,16011.8,1506669030
22.06.2023,16140.8,1797214371
21.06.2023,16240.95,1856155156
