Date,PX_LAST,PX_VOLUME
30.09.2024,5762.48,882426660
27.09.2024,5738.17,662752996
26.09.2024,5745.37,764248641
25.09.2024,5722.26,697400878
24.09.2024,5732.93,773105011
23.09.2024,5718.57,748070094
20.09.2024,5702.55,2834896116
19.09.2024,5713.64,841530507
18.09.2024,5618.26,696088958
17.09.2024,5634.58,620476005
16.09.2024,5633.09,597981853
13.09.2024,5626.02,575281052
12.09.2024,5595.76,694797208
11.09.2024,5554.13,781216307
10.09.2024,5495.52,666298334
09.09.2024,5471.05,728471856
06.09.2024,5408.42,822499789
05.09.2024,5503.41,659571094
04.09.2024,5520.07,701149272
03.09.2024,5528.93,850990993
30.08.2024,5648.4,1028584944
29.08.2024,5591.96,617833262
28.08.2024,5592.18,594378722
27.08.2024,5625.8,529462345
26.08.2024,5616.84,532657706
23.08.2024,5634.61,613113093
22.08.2024,5570.64,604160927
21.08.2024,5620.85,551313801
20.08.2024,5597.12,555036893
19.08.2024,5608.25,584669671
16.08.2024,5554.25,685911081
15.08.2024,5543.22,760461293
14.08.2024,5455.21,634993809
13.08.2024,5434.43,733150086
12.08.2024,5344.39,614961012
09.08.2024,5344.16,587644391
08.08.2024,5319.31,768708601
07.08.2024,5199.5,829447406
06.08.2024,5240.03,911963161
05.08.2024,5186.33,1185327743
02.08.2024,5346.56,1050291112
01.08.2024,5446.68,927049820
31.07.2024,5522.3,1066525370
30.07.2024,5436.44,794010397
29.07.2024,5463.54,633085826
26.07.2024,5459.1,695439815
25.07.2024,5399.22,900999146
24.07.2024,5427.13,879166403
23.07.2024,5555.74,625846927
22.07.2024,5564.41,698844211
19.07.2024,5505,870120592
18.07.2024,5544.59,764718235
17.07.2024,5588.27,861198234
16.07.2024,5667.2,666181189
15.07.2024,5631.22,625588398
12.07.2024,5615.35,691051180
11.07.2024,5584.54,793122397
10.07.2024,5633.91,641575003
09.07.2024,5576.98,635909477
08.07.2024,5572.85,666672110
05.07.2024,5567.19,680351948
03.07.2024,5537.02,436395523
02.07.2024,5509.01,668476308
01.07.2024,5475.09,646243569
28.06.2024,5460.48,1646592214
27.06.2024,5482.87,706742162
26.06.2024,5477.9,716649179
25.06.2024,5469.3,787056702
24.06.2024,5447.87,799136296
21.06.2024,5464.62,2675987960
20.06.2024,5473.17,860912027
18.06.2024,5487.03,734928431
17.06.2024,5473.23,688383951
14.06.2024,5431.6,606994927
13.06.2024,5433.74,671145248
12.06.2024,5421.03,734659391
11.06.2024,5375.32,653634346
10.06.2024,5360.79,691543731
07.06.2024,5346.99,540912878
06.06.2024,5352.96,580519835
05.06.2024,5354.03,627194046
04.06.2024,5291.34,622296533
03.06.2024,5283.4,650014913
31.05.2024,5277.51,1677911714
30.05.2024,5235.48,633456556
29.05.2024,5266.95,648849760
28.05.2024,5306.04,632325203
24.05.2024,5304.72,518297234
23.05.2024,5267.84,642324642
22.05.2024,5307.01,607871288
21.05.2024,5321.41,560156939
20.05.2024,5308.13,511836196
17.05.2024,5303.27,633106828
16.05.2024,5297.1,657478316
15.05.2024,5308.15,676790031
14.05.2024,5246.68,591140913
13.05.2024,5221.42,567632226
10.05.2024,5222.68,552478490
09.05.2024,5214.08,569494678
08.05.2024,5187.67,623149630
07.05.2024,5187.7,649506675
06.05.2024,5180.74,631250257
03.05.2024,5127.79,701689993
02.05.2024,5064.2,739935801
01.05.2024,5018.39,809021347
30.04.2024,5035.69,910318928
29.04.2024,5116.17,663462702
26.04.2024,5099.96,686360905
25.04.2024,5048.42,773674502
24.04.2024,5071.63,720425246
23.04.2024,5070.55,652109640
22.04.2024,5010.6,661810027
19.04.2024,4967.23,865016383
18.04.2024,5011.12,610415260
17.04.2024,5022.21,625572020
16.04.2024,5051.41,629798982
15.04.2024,5061.82,685496598
12.04.2024,5123.41,664864391
11.04.2024,5199.06,642480433
10.04.2024,5160.64,645445357
09.04.2024,5209.91,567518803
08.04.2024,5202.39,559026792
05.04.2024,5204.34,613619466
04.04.2024,5147.21,717795894
03.04.2024,5211.49,658241573
02.04.2024,5205.81,731371246
01.04.2024,5243.77,561031961
28.03.2024,5254.35,787104098
27.03.2024,5248.49,648229648
26.03.2024,5203.58,670805580
25.03.2024,5218.19,603327469
22.03.2024,5234.18,588747926
21.03.2024,5241.53,718142030
20.03.2024,5224.62,658696240
19.03.2024,5178.51,742925252
18.03.2024,5149.42,784047674
15.03.2024,5117.09,2699996659
14.03.2024,5150.48,830838311
13.03.2024,5165.31,762052392
12.03.2024,5175.27,638546850
11.03.2024,5117.94,603068481
08.03.2024,5123.69,678455576
07.03.2024,5157.36,659799460
06.03.2024,5104.76,700289090
05.03.2024,5078.65,743286484
04.03.2024,5130.95,751185450
01.03.2024,5137.08,687218784
29.02.2024,5096.27,1285581876
28.02.2024,5069.76,564440544
27.02.2024,5078.18,574728854
26.02.2024,5069.53,623644768
23.02.2024,5088.8,633418439
22.02.2024,5087.03,728724112
21.02.2024,4981.8,618518026
20.02.2024,4975.51,696451427
16.02.2024,5005.57,683361708
15.02.2024,5029.73,668366860
14.02.2024,5000.62,644907004
13.02.2024,4953.17,689444106
12.02.2024,5021.84,600435425
09.02.2024,5026.61,633865687
08.02.2024,4997.91,641191844
07.02.2024,4995.06,693459419
06.02.2024,4954.23,636054578
05.02.2024,4942.81,699814958
02.02.2024,4958.61,742829415
01.02.2024,4906.19,720837864
31.01.2024,4845.65,1075732775
30.01.2024,4924.97,648024028
29.01.2024,4927.93,629745728
26.01.2024,4890.97,623980996
25.01.2024,4894.16,749967986
24.01.2024,4868.55,682971998
23.01.2024,4864.6,596555898
22.01.2024,4850.43,701376031
19.01.2024,4839.81,840591395
18.01.2024,4780.94,690191784
17.01.2024,4739.21,600707347
