Date,SOFR3M
30.09.2024,95.27
27.09.2024,95.2925
26.09.2024,95.29
25.09.2024,95.2975
24.09.2024,95.2875
23.09.2024,95.28
20.09.2024,95.28
19.09.2024,95.265
18.09.2024,95.25
17.09.2024,94.6275
16.09.2024,94.63
13.09.2024,94.63
12.09.2024,94.63
11.09.2024,94.6275
10.09.2024,94.63
09.09.2024,94.6275
06.09.2024,94.63
05.09.2024,94.6275
04.09.2024,94.63
03.09.2024,94.63
30.08.2024,94.6275
29.08.2024,94.625
28.08.2024,94.625
27.08.2024,94.6275
26.08.2024,94.6275
23.08.2024,94.63
22.08.2024,94.6275
21.08.2024,94.63
20.08.2024,94.63
19.08.2024,94.63
16.08.2024,94.63
15.08.2024,94.63
14.08.2024,94.63
13.08.2024,94.6325
12.08.2024,94.635
09.08.2024,94.635
08.08.2024,94.635
07.08.2024,94.6375
06.08.2024,94.6375
05.08.2024,94.6475
02.08.2024,94.645
01.08.2024,94.6325
31.07.2024,94.6275
30.07.2024,94.6325
29.07.2024,94.63
26.07.2024,94.63
25.07.2024,94.63
24.07.2024,94.63
23.07.2024,94.63
22.07.2024,94.63
19.07.2024,94.63
18.07.2024,94.6325
17.07.2024,94.6325
16.07.2024,94.6375
15.07.2024,94.6375
12.07.2024,94.6425
11.07.2024,94.6475
10.07.2024,94.6475
09.07.2024,94.6475
08.07.2024,94.65
05.07.2024,94.6525
03.07.2024,94.6525
02.07.2024,94.65
01.07.2024,94.65
28.06.2024,94.6525
27.06.2024,94.65
26.06.2024,94.645
25.06.2024,94.6475
24.06.2024,94.645
21.06.2024,94.645
20.06.2024,94.6425
18.06.2024,94.6475
17.06.2024,94.645
14.06.2024,94.6475
13.06.2024,94.6475
12.06.2024,94.6475
11.06.2024,94.6475
10.06.2024,94.645
07.06.2024,94.645
06.06.2024,94.6475
05.06.2024,94.6475
04.06.2024,94.6475
03.06.2024,94.65
31.05.2024,94.65
30.05.2024,94.65
29.05.2024,94.65
28.05.2024,94.6475
24.05.2024,94.65
23.05.2024,94.65
22.05.2024,94.65
21.05.2024,94.6525
20.05.2024,94.65
17.05.2024,94.65
16.05.2024,94.6525
15.05.2024,94.6525
14.05.2024,94.6525
13.05.2024,94.6525
10.05.2024,94.6525
09.05.2024,94.655
08.05.2024,94.6525
07.05.2024,94.6525
06.05.2024,94.655
03.05.2024,94.655
02.05.2024,94.655
01.05.2024,94.655
30.04.2024,94.655
29.04.2024,94.655
26.04.2024,94.6575
25.04.2024,94.6575
24.04.2024,94.655
23.04.2024,94.6575
22.04.2024,94.6575
19.04.2024,94.66
18.04.2024,94.6575
17.04.2024,94.66
16.04.2024,94.6575
15.04.2024,94.66
12.04.2024,94.66
11.04.2024,94.66
10.04.2024,94.6575
09.04.2024,94.665
08.04.2024,94.6625
05.04.2024,94.6675
04.04.2024,94.675
03.04.2024,94.67
02.04.2024,94.67
01.04.2024,94.6675
28.03.2024,94.6725
27.03.2024,94.675
26.03.2024,94.675
25.03.2024,94.67
22.03.2024,94.675
21.03.2024,94.67
20.03.2024,94.675
19.03.2024,94.6475
18.03.2024,94.645
15.03.2024,94.645
14.03.2024,94.645
13.03.2024,94.645
12.03.2024,94.645
11.03.2024,94.645
08.03.2024,94.6475
07.03.2024,94.6475
06.03.2024,94.645
05.03.2024,94.6475
04.03.2024,94.645
01.03.2024,94.6475
29.02.2024,94.6475
28.02.2024,94.6475
27.02.2024,94.645
26.02.2024,94.645
23.02.2024,94.645
22.02.2024,94.645
21.02.2024,94.645
20.02.2024,94.6475
16.02.2024,94.645
15.02.2024,94.645
14.02.2024,94.6475
13.02.2024,94.645
12.02.2024,94.645
09.02.2024,94.645
08.02.2024,94.645
07.02.2024,94.645
06.02.2024,94.6475
05.02.2024,94.645
02.02.2024,94.645
01.02.2024,94.645
31.01.2024,94.645
30.01.2024,94.64
29.01.2024,94.6425
26.01.2024,94.64
25.01.2024,94.6375
24.01.2024,94.635
23.01.2024,94.6375
22.01.2024,94.635
19.01.2024,94.635
18.01.2024,94.6375
17.01.2024,94.6375
16.01.2024,94.64
12.01.2024,94.64
11.01.2024,94.6375
10.01.2024,94.6375
09.01.2024,94.635
08.01.2024,94.635
05.01.2024,94.635
04.01.2024,94.635
03.01.2024,94.6325
02.01.2024,94.6375
29.12.2023,94.6425
28.12.2023,94.6375
27.12.2023,94.6425
26.12.2023,94.6375
22.12.2023,94.6325
21.12.2023,94.6325
20.12.2023,94.63
19.12.2023,94.6475
18.12.2023,94.6475
15.12.2023,94.645
14.12.2023,94.6475
13.12.2023,94.6475
12.12.2023,94.645
11.12.2023,94.6475
08.12.2023,94.645
07.12.2023,94.6475
06.12.2023,94.6475
05.12.2023,94.645
04.12.2023,94.6425
01.12.2023,94.6475
30.11.2023,94.6475
29.11.2023,94.65
28.11.2023,94.65
27.11.2023,94.65
24.11.2023,94.65
22.11.2023,94.65
21.11.2023,94.65
20.11.2023,94.65
17.11.2023,94.6525
16.11.2023,94.65
15.11.2023,94.65
14.11.2023,94.65
13.11.2023,94.6525
10.11.2023,94.6525
09.11.2023,94.65
08.11.2023,94.65
07.11.2023,94.65
06.11.2023,94.65
03.11.2023,94.65
02.11.2023,94.65
01.11.2023,94.65
31.10.2023,94.65
30.10.2023,94.65
27.10.2023,94.6525
26.10.2023,94.65
25.10.2023,94.6475
24.10.2023,94.65
23.10.2023,94.65
20.10.2023,94.6525
19.10.2023,94.645
18.10.2023,94.64
17.10.2023,94.6325
16.10.2023,94.64
13.10.2023,94.6375
12.10.2023,94.635
11.10.2023,94.6375
10.10.2023,94.6325
09.10.2023,94.635
06.10.2023,94.6125
05.10.2023,94.625
04.10.2023,94.625
03.10.2023,94.61
02.10.2023,94.615
29.09.2023,94.63
28.09.2023,94.625
27.09.2023,94.6225
26.09.2023,94.6275
25.09.2023,94.625
22.09.2023,94.6225
21.09.2023,94.6125
20.09.2023,94.61
19.09.2023,94.76
18.09.2023,94.76
15.09.2023,94.7625
14.09.2023,94.7625
13.09.2023,94.7625
12.09.2023,94.7625
11.09.2023,94.76
08.09.2023,94.7625
07.09.2023,94.7625
06.09.2023,94.76
05.09.2023,94.76
01.09.2023,94.7625
31.08.2023,94.7625
30.08.2023,94.7625
29.08.2023,94.7625
28.08.2023,94.76
25.08.2023,94.76
24.08.2023,94.76
23.08.2023,94.7625
22.08.2023,94.76
21.08.2023,94.76
18.08.2023,94.7625
17.08.2023,94.7625
16.08.2023,94.76
15.08.2023,94.7625
14.08.2023,94.76
11.08.2023,94.76
10.08.2023,94.7625
09.08.2023,94.7625
08.08.2023,94.7625
07.08.2023,94.7625
04.08.2023,94.7625
03.08.2023,94.76
02.08.2023,94.76
01.08.2023,94.76
31.07.2023,94.76
28.07.2023,94.76
27.07.2023,94.76
26.07.2023,94.76
25.07.2023,94.7625
24.07.2023,94.7625
21.07.2023,94.7625
20.07.2023,94.76
19.07.2023,94.7625
18.07.2023,94.7625
17.07.2023,94.7625
14.07.2023,94.7675
13.07.2023,94.7725
12.07.2023,94.77
11.07.2023,94.77
10.07.2023,94.7725
07.07.2023,94.775
06.07.2023,94.775
05.07.2023,94.78
03.07.2023,94.775
30.06.2023,94.78
29.06.2023,94.7775
28.06.2023,94.79
27.06.2023,94.7875
26.06.2023,94.7825
23.06.2023,94.7825
22.06.2023,94.775
21.06.2023,94.77
20.06.2023,95.055
16.06.2023,95.055
15.06.2023,95.0575
14.06.2023,95.055
13.06.2023,95.0525
12.06.2023,95.05
09.06.2023,95.05
08.06.2023,95.0525
07.06.2023,95.05
06.06.2023,95.05
05.06.2023,95.05
02.06.2023,95.0475
01.06.2023,95.05
31.05.2023,95.05
30.05.2023,95.0475
26.05.2023,95.045
25.05.2023,95.0425
24.05.2023,95.045
23.05.2023,95.0475
22.05.2023,95.05
19.05.2023,95.055
18.05.2023,95.0525
17.05.2023,95.055
16.05.2023,95.0575
15.05.2023,95.0575
12.05.2023,95.0575
11.05.2023,95.0575
10.05.2023,95.06
09.05.2023,95.06
08.05.2023,95.06
05.05.2023,95.065
04.05.2023,95.07
03.05.2023,95.0625
02.05.2023,95.0725
01.05.2023,95.0625
28.04.2023,95.0725
27.04.2023,95.07
26.04.2023,95.0875
25.04.2023,95.085
24.04.2023,95.0625
21.04.2023,95.065
20.04.2023,95.0675
19.04.2023,95.0625
18.04.2023,95.065
17.04.2023,95.0675
14.04.2023,95.0775
13.04.2023,95.0925
12.04.2023,95.0875
11.04.2023,95.0875
10.04.2023,95.09
07.04.2023,95.1
06.04.2023,95.13
05.04.2023,95.13
04.04.2023,95.125
03.04.2023,95.11
31.03.2023,95.1275
30.03.2023,95.135
29.03.2023,95.1425
28.03.2023,95.14
27.03.2023,95.125
24.03.2023,95.18
23.03.2023,95.16
22.03.2023,95.12
21.03.2023,95.135
20.03.2023,95.18
17.03.2023,95.235
16.03.2023,95.155
15.03.2023,95.2275
14.03.2023,95.5525
13.03.2023,95.555
10.03.2023,95.555
09.03.2023,95.555
08.03.2023,95.5525
07.03.2023,95.5525
06.03.2023,95.5525
03.03.2023,95.555
02.03.2023,95.555
01.03.2023,95.5525
28.02.2023,95.5525
27.02.2023,95.5525
24.02.2023,95.5525
23.02.2023,95.555
22.02.2023,95.5525
21.02.2023,95.555
17.02.2023,95.555
16.02.2023,95.555
15.02.2023,95.555
14.02.2023,95.555
13.02.2023,95.555
10.02.2023,95.555
09.02.2023,95.555
08.02.2023,95.555
07.02.2023,95.5525
06.02.2023,95.55
03.02.2023,95.55
02.02.2023,95.55
01.02.2023,95.55
31.01.2023,95.5475
30.01.2023,95.545
27.01.2023,95.5425
26.01.2023,95.54
25.01.2023,95.54
24.01.2023,95.5375
23.01.2023,95.535
