Date,PX_BID,PX_VOLUME,PX_ASK
30.09.2024,5806,1502729,5806.5
27.09.2024,5785.5,1280272,5786
26.09.2024,5803.5,1360026,5804
25.09.2024,5783.25,1043665,5783.5
24.09.2024,5792.5,1181221,5792.75
23.09.2024,5774.5,1077941,5775
20.09.2024,#N/A N/A,27392,#N/A N/A
19.09.2024,5711.25,461433,5718.25
18.09.2024,5630.25,605651,5631
17.09.2024,5639.75,1056184,5640.25
16.09.2024,5633.5,1588010,5634
13.09.2024,5626.5,1706322,5627
12.09.2024,5596.25,1726434,5597
11.09.2024,5557.5,2309139,5557.75
10.09.2024,5499,1525620,5499.75
09.09.2024,5487.25,1611701,5487.75
06.09.2024,5403.5,2377532,5404
05.09.2024,5511.25,1737210,5511.75
04.09.2024,5527,1749591,5527.5
03.09.2024,5537.75,1910577,5538.5
30.08.2024,5656.25,1558874,5657
29.08.2024,5617.75,1571688,5618.5
28.08.2024,5593.25,1381099,5594.25
27.08.2024,5642.75,1027658,5643.5
26.08.2024,5629.5,1090361,5630
23.08.2024,5650.75,1415472,5651.25
22.08.2024,5598.25,1409474,5598.75
21.08.2024,5641.25,1086814,5641.75
20.08.2024,5619.75,1020393,5620.5
19.08.2024,5625,1010612,5625.25
16.08.2024,5580,1183498,5580.5
15.08.2024,5566.5,1440377,5567
14.08.2024,5481.25,1301826,5481.75
13.08.2024,5455,1271171,5455.5
12.08.2024,5367.75,1219995,5368
09.08.2024,5364.25,1412017,5365.25
08.08.2024,5352,1912347,5353
07.08.2024,5201.75,2247229,5202.5
06.08.2024,5248.5,2172067,5249
05.08.2024,5247.75,3436090,5248.75
02.08.2024,5357.5,3239738,5358.25
01.08.2024,5471,2751690,5471.75
31.07.2024,5570,2156505,5570.5
30.07.2024,5451.75,2053956,5452.5
29.07.2024,5504.5,1697647,5504.75
26.07.2024,5499,1977698,5499.5
25.07.2024,5444.75,2888086,5445
24.07.2024,5483,2178690,5483.25
23.07.2024,5601.75,1385653,5602.5
22.07.2024,5607.75,1671918,5608.25
19.07.2024,5552.25,2106581,5553
18.07.2024,5599.5,2528379,5600
17.07.2024,5643.25,2059862,5643.5
16.07.2024,5715.5,1485113,5715.75
15.07.2024,5688,1701349,5688.5
12.07.2024,5667.5,1684437,5667.75
11.07.2024,5640,1970766,5640.25
10.07.2024,5684.25,1200224,5684.5
09.07.2024,5631.75,1063568,5632.25
08.07.2024,5628.5,981186,5628.75
05.07.2024,5614.75,1233173,5615.5
03.07.2024,5590.5,808966,5591
02.07.2024,5562.5,1315097,5563
01.07.2024,5532,1432355,5532.25
28.06.2024,5532,1855777,5532.5
27.06.2024,5549,1257121,5549.75
26.06.2024,5533.5,1197372,5534
25.06.2024,5535,1141183,5535.5
24.06.2024,5515.5,1410359,5516.25
21.06.2024,#N/A N/A,24598,#N/A N/A
20.06.2024,5476,571332,5477.25
18.06.2024,5492.75,820053,5493.25
17.06.2024,5479.5,1589643,5480
14.06.2024,5435.5,1789793,5436
13.06.2024,5435.75,1682858,5436.25
12.06.2024,5438.25,1899786,5438.75
11.06.2024,5383.5,1413433,5384
10.06.2024,5369.25,1185881,5369.75
07.06.2024,5353.25,1591439,5354.25
06.06.2024,5363,1228240,5363.25
05.06.2024,5365.5,1450596,5366
04.06.2024,5304.5,1679093,5305
03.06.2024,5300,1785532,5300.25
31.05.2024,5299,2452894,5299.5
30.05.2024,5250,1495148,5250.5
29.05.2024,5269.5,1445855,5270.25
28.05.2024,5323.75,1387872,5324.25
24.05.2024,5320.5,1264244,5321
23.05.2024,5286.25,2012153,5286.5
22.05.2024,5330.75,1257477,5331.5
21.05.2024,5343.75,1011849,5344
20.05.2024,5331.5,1031456,5332
17.05.2024,5327.75,1052765,5328
16.05.2024,5316,1207843,5316.25
15.05.2024,5330,1391029,5330.25
14.05.2024,5269,1252615,5269.25
13.05.2024,5242.5,922763,5243
10.05.2024,5241.25,1112925,5241.5
09.05.2024,5240.5,1094931,5241
08.05.2024,5209.75,1013418,5210.25
07.05.2024,5211.75,1106457,5212
06.05.2024,5205,1019307,5205.5
03.05.2024,5161.25,1604172,5161.75
02.05.2024,5110.25,1573131,5111
01.05.2024,5053.5,1955160,5054
30.04.2024,5054.75,1675335,5055.5
29.04.2024,5147,1163440,5147.5
26.04.2024,5131.5,1455855,5131.75
25.04.2024,5131.75,1887635,5132.25
24.04.2024,5079,1512469,5079.75
23.04.2024,5111.75,1357493,5112.25
22.04.2024,5049,1584393,5049.25
