Date,PX_LAST,PX_VOLUME
30.09.2024,5000.45,357229704
27.09.2024,5067.45,272856937
26.09.2024,5032.59,316328215
25.09.2024,4916.89,197642741
24.09.2024,4940.72,204248593
23.09.2024,4885.57,220071284
20.09.2024,4871.54,562649020
19.09.2024,4943.38,299788465
18.09.2024,4835.3,203536322
17.09.2024,4860.78,225636820
16.09.2024,4827.63,169503654
13.09.2024,4843.99,204316953
12.09.2024,4814.08,225754919
11.09.2024,4763.58,227355333
10.09.2024,4747.2,270045870
09.09.2024,4778.66,185477355
06.09.2024,4738.06,266435402
05.09.2024,4815.15,217384494
04.09.2024,4848.18,212379377
03.09.2024,4912.52,219271773
02.09.2024,4973.07,142247332
30.08.2024,4957.98,345210448
29.08.2024,4966.27,195531678
28.08.2024,4913.03,172228077
27.08.2024,4898.78,175396422
26.08.2024,4896.69,106222613
23.08.2024,4909.2,162923559
22.08.2024,4885,147521621
21.08.2024,4885.28,137611304
20.08.2024,4857.58,160879391
19.08.2024,4871.41,163277921
16.08.2024,4840.52,230496419
15.08.2024,4807.77,117771504
14.08.2024,4727.6,144349048
13.08.2024,4694.92,187061608
12.08.2024,4671.88,157844653
09.08.2024,4675.28,177063975
08.08.2024,4668.74,250044060
07.08.2024,4668.06,341409112
06.08.2024,4575.22,326903721
05.08.2024,4571.6,471088224
02.08.2024,4638.7,443711881
01.08.2024,4765.72,348984088
31.07.2024,4872.94,302622406
30.07.2024,4841,282659470
29.07.2024,4815.39,201737531
26.07.2024,4862.5,207454880
25.07.2024,4811.28,273918028
24.07.2024,4861.87,255223899
23.07.2024,4916.8,217240511
22.07.2024,4897.44,235367911
19.07.2024,4827.24,305112515
18.07.2024,4870.12,243941952
17.07.2024,4891.46,212497507
16.07.2024,4947.83,192865839
15.07.2024,4983.11,167868357
12.07.2024,5043.02,204944210
11.07.2024,4976.13,215256138
10.07.2024,4958.86,201356064
09.07.2024,4903.62,202284680
08.07.2024,4969.83,234769880
05.07.2024,4979.39,185060140
04.07.2024,4987.48,160778499
03.07.2024,4965.8,229834981
02.07.2024,4906.33,230127036
01.07.2024,4929.99,268054001
28.06.2024,4894.02,251493486
27.06.2024,4902.6,230376475
26.06.2024,4915.94,245280283
25.06.2024,4935.97,231330420
24.06.2024,4950.98,244253755
21.06.2024,4907.3,573690213
20.06.2024,4947.73,263476470
19.06.2024,4885.45,246076506
18.06.2024,4915.47,256850010
17.06.2024,4880.42,271249615
14.06.2024,4839.14,519017459
13.06.2024,4935.5,377530394
12.06.2024,5034.43,264767680
11.06.2024,4965.09,302866292
10.06.2024,5016.48,238884288
07.06.2024,5051.31,220140893
06.06.2024,5069.09,239008358
05.06.2024,5035.66,240697168
04.06.2024,4953.37,320805617
03.06.2024,5003.54,227850174
31.05.2024,4983.67,593175350
30.05.2024,4982.18,231870773
29.05.2024,4963.2,235500764
28.05.2024,5030.35,206833825
27.05.2024,5059.2,151987786
24.05.2024,5035.41,194138384
23.05.2024,5037.6,211359590
22.05.2024,5025.17,220929336
21.05.2024,5046.99,248672648
20.05.2024,5074.34,241588880
17.05.2024,5064.14,343384850
16.05.2024,5072.45,263971170
15.05.2024,5100.9,294864355
14.05.2024,5080.29,395315958
13.05.2024,5078.96,236769963
10.05.2024,5085.08,336167614
09.05.2024,5054.41,230974490
08.05.2024,5038.17,289411895
07.05.2024,5016.1,309649519
06.05.2024,4956.96,228561151
03.05.2024,4921.48,368346780
02.05.2024,4890.61,365343033
01.05.2024,4921.22,#N/A N/A
30.04.2024,4921.22,355997819
29.04.2024,4981.09,283148117
26.04.2024,5006.85,277372408
25.04.2024,4939.01,284153487
24.04.2024,4989.88,314180502
23.04.2024,5008.17,451953616
