Date,EURIBOR3M
30.09.2024,97.16
27.09.2024,97.145
26.09.2024,97.1
25.09.2024,97.095
24.09.2024,97.105
23.09.2024,97.045
20.09.2024,96.97
19.09.2024,96.99
18.09.2024,96.97
17.09.2024,96.99
16.09.2024,96.512
13.09.2024,96.535
12.09.2024,96.525
11.09.2024,96.555
10.09.2024,96.555
09.09.2024,96.56
06.09.2024,96.57
05.09.2024,96.565
04.09.2024,96.56
03.09.2024,96.55
02.09.2024,96.545
30.08.2024,96.555
29.08.2024,96.57
28.08.2024,96.565
27.08.2024,96.565
26.08.2024,96.56
23.08.2024,96.575
22.08.2024,96.57
21.08.2024,96.575
20.08.2024,96.57
19.08.2024,96.565
16.08.2024,96.565
15.08.2024,96.56
14.08.2024,96.59
13.08.2024,96.595
12.08.2024,96.575
09.08.2024,96.575
08.08.2024,96.58
07.08.2024,96.58
06.08.2024,96.6
05.08.2024,96.635
02.08.2024,96.62
01.08.2024,96.545
31.07.2024,96.535
30.07.2024,96.525
29.07.2024,96.515
26.07.2024,96.505
25.07.2024,96.505
24.07.2024,96.495
23.07.2024,96.475
22.07.2024,96.47
19.07.2024,96.485
18.07.2024,96.49
17.07.2024,96.49
16.07.2024,96.5
15.07.2024,96.5
12.07.2024,96.51
11.07.2024,96.505
10.07.2024,96.47
09.07.2024,96.47
08.07.2024,96.47
05.07.2024,96.47
04.07.2024,96.46
03.07.2024,96.465
02.07.2024,96.465
01.07.2024,96.46
28.06.2024,96.47
27.06.2024,96.475
26.06.2024,96.475
25.06.2024,96.475
24.06.2024,96.46
21.06.2024,96.455
20.06.2024,96.435
19.06.2024,96.43
18.06.2024,96.435
17.06.2024,96.289
14.06.2024,96.28
13.06.2024,96.275
12.06.2024,96.275
11.06.2024,96.26
10.06.2024,96.26
07.06.2024,96.255
06.06.2024,96.255
05.06.2024,96.265
04.06.2024,96.26
03.06.2024,96.25
31.05.2024,96.245
30.05.2024,96.26
29.05.2024,96.26
28.05.2024,96.255
27.05.2024,96.255
24.05.2024,96.24
23.05.2024,96.25
22.05.2024,96.255
21.05.2024,96.26
20.05.2024,96.265
17.05.2024,96.265
16.05.2024,96.275
15.05.2024,96.29
14.05.2024,96.28
13.05.2024,96.28
10.05.2024,96.28
09.05.2024,96.29
08.05.2024,96.29
07.05.2024,96.3
06.05.2024,96.3
03.05.2024,96.3
02.05.2024,96.295
01.05.2024,96.29
30.04.2024,96.29
29.04.2024,96.3
26.04.2024,96.28
25.04.2024,96.275
24.04.2024,96.28
23.04.2024,96.295
22.04.2024,96.295
19.04.2024,96.285
18.04.2024,96.29
17.04.2024,96.3
16.04.2024,96.305
15.04.2024,96.315
12.04.2024,96.32
11.04.2024,96.275
10.04.2024,96.3
09.04.2024,96.335
08.04.2024,96.335
05.04.2024,96.355
04.04.2024,96.36
03.04.2024,96.355
02.04.2024,96.365
01.04.2024,96.355
28.03.2024,96.355
27.03.2024,96.355
26.03.2024,96.35
25.03.2024,96.335
22.03.2024,96.355
21.03.2024,96.335
20.03.2024,96.31
19.03.2024,96.31
18.03.2024,96.072
15.03.2024,96.065
14.03.2024,96.07
13.03.2024,96.07
12.03.2024,96.075
11.03.2024,96.075
08.03.2024,96.08
07.03.2024,96.075
06.03.2024,96.08
05.03.2024,96.085
04.03.2024,96.075
01.03.2024,96.075
29.02.2024,96.085
28.02.2024,96.095
27.02.2024,96.085
26.02.2024,96.08
23.02.2024,96.095
22.02.2024,96.09
21.02.2024,96.1
20.02.2024,96.115
19.02.2024,96.115
16.02.2024,96.12
15.02.2024,96.13
14.02.2024,96.13
13.02.2024,96.13
12.02.2024,96.14
09.02.2024,96.13
08.02.2024,96.14
07.02.2024,96.15
06.02.2024,96.155
05.02.2024,96.145
02.02.2024,96.16
01.02.2024,96.22
31.01.2024,96.255
30.01.2024,96.21
29.01.2024,96.24
26.01.2024,96.205
25.01.2024,96.205
24.01.2024,96.16
23.01.2024,96.165
22.01.2024,96.165
19.01.2024,96.17
18.01.2024,96.18
