Date,PX_BID,PX_VOLUME,PX_ASK
30.09.2024,5040,783181,5041
27.09.2024,5078,805911,5079
26.09.2024,5068,1035689,5070
25.09.2024,4943,495790,4944
24.09.2024,4966,670470,4967
23.09.2024,4923,443302,4924
20.09.2024,4903,46019,4904
19.09.2024,4935,668872,4953
18.09.2024,4845,811035,4846
17.09.2024,4857,1438691,4858
16.09.2024,4852,1523332,4853
13.09.2024,4847,795245,4848
12.09.2024,4832,836226,4833
11.09.2024,4821,719182,4822
10.09.2024,4767,637085,4768
09.09.2024,4797,718278,4798
06.09.2024,4732,1093192,4733
05.09.2024,4828,679868,4829
04.09.2024,4852,843155,4854
03.09.2024,4892,681738,4893
02.09.2024,4986,320099,4987
30.08.2024,4978,571412,4980
29.08.2024,4958,609869,4959
28.08.2024,4926,424380,4928
27.08.2024,4915,343905,4916
26.08.2024,4912,234702,4913
23.08.2024,4919,498112,4921
22.08.2024,4883,444444,4884
21.08.2024,4907,419755,4908
20.08.2024,4867,481959,4869
19.08.2024,4895,433992,4896
16.08.2024,4861,740092,4862
15.08.2024,4843,798379,4844
14.08.2024,4749,560364,4751
13.08.2024,4726,512960,4727
12.08.2024,4687,502392,4688
09.08.2024,4707,572364,4710
08.08.2024,4700,723887,4703
07.08.2024,4625,942396,4626
06.08.2024,4600,1086430,4602
05.08.2024,4594,1707867,4597
02.08.2024,4677,1374820,4678
01.08.2024,4774,952285,4776
31.07.2024,4901,723206,4902
30.07.2024,4865,523840,4866
29.07.2024,4852,592859,4853
26.07.2024,4902,620702,4903
25.07.2024,4833,1009231,4834
24.07.2024,4861,664605,4863
23.07.2024,4931,589251,4933
22.07.2024,4950,729270,4951
19.07.2024,4857,828839,4858
18.07.2024,4898,762703,4899
17.07.2024,4912,776424,4913
16.07.2024,4998,639633,4999
15.07.2024,5002,674985,5003
12.07.2024,5061,684631,5062
11.07.2024,5002,642446,5003
10.07.2024,5009,647413,5010
09.07.2024,4939,773684,4940
08.07.2024,5000,604832,5001
05.07.2024,5023,694901,5024
04.07.2024,5031,362050,5032
03.07.2024,5011,736414,5012
02.07.2024,4952,757600,4953
01.07.2024,4977,729644,4978
28.06.2024,4939,843605,4940
27.06.2024,4947,600720,4948
26.06.2024,4958,697226,4959
25.06.2024,4986,616687,4988
24.06.2024,4972,599381,4974
21.06.2024,4910,52662,4911
20.06.2024,4946,597990,4951
19.06.2024,4884,952734,4885
18.06.2024,4919,1745353,4920
17.06.2024,4906,1689137,4907
14.06.2024,4841,1932002,4842
13.06.2024,4948,1206075,4949
12.06.2024,5036,956619,5037
11.06.2024,4976,1007784,4977
10.06.2024,5029,819605,5030
07.06.2024,5046,733911,5049
06.06.2024,5075,717439,5076
05.06.2024,5062,745323,5063
04.06.2024,4973,782721,4974
03.06.2024,5005,717427,5007
31.05.2024,5018,880042,5020
30.05.2024,4998,569776,4999
29.05.2024,4975,826189,4976
28.05.2024,5045,570744,5046
27.05.2024,5067,242122,5068
24.05.2024,5043,527625,5044
23.05.2024,5012,645779,5014
22.05.2024,5030,492002,5031
21.05.2024,5060,458788,5061
20.05.2024,5069,312609,5070
17.05.2024,5068,536428,5069
16.05.2024,5054,678611,5055
15.05.2024,5102,591979,5103
14.05.2024,5087,549096,5088
13.05.2024,5072,406915,5073
10.05.2024,5075,703704,5076
09.05.2024,5052,610083,5054
08.05.2024,5024,608670,5025
07.05.2024,4994,643796,4995
06.05.2024,4954,478368,4955
03.05.2024,4907,680729,4909
02.05.2024,4877,789826,4878
30.04.2024,4879,819798,4881
29.04.2024,4958,612643,4959
26.04.2024,4983,738461,4985
25.04.2024,4921,875559,4922
24.04.2024,4957,670565,4958
23.04.2024,4975,721407,4976
22.04.2024,4911,730032,4912
19.04.2024,4859,952635,4860
18.04.2024,4870,840791,4871
17.04.2024,4863,931533,4864
16.04.2024,4880,1210691,4881
15.04.2024,4897,1102440,4898
12.04.2024,4893,1150120,4895
11.04.2024,4948,1015278,4949
10.04.2024,4944,1097946,4945
09.04.2024,4961,733054,4962
08.04.2024,4994,617445,4995
05.04.2024,4969,1021223,4970
04.04.2024,4964,615635,4965
03.04.2024,5017,679084,5018
02.04.2024,5008,923764,5009
28.03.2024,5050,891705,5051
27.03.2024,5056,674887,5057
26.03.2024,5016,673683,5018
25.03.2024,5000,576456,5002
22.03.2024,4992,799149,4993
21.03.2024,5000,942277,5002
20.03.2024,5001,719596,5003
19.03.2024,4954,650336,4955
18.03.2024,4935,656150,4936
15.03.2024,5016,77668,5017
14.03.2024,4986,717391,4993
